Id	ChapterId	Title	Text	UnlockNodeId
1	1	灰鸦落境	空中花园决定向西非大陆上一块未知地域派遣多支军事力量，包括灰鸦这种“精英部队”……（本章共需求5人）	0
2	1	全面搜索	丽芙临时加入了搜索重要战略装置的行动，在丽芙身边，还有沙雀部队幸存者布朗宁……	19
3	1	逆时而行	1天前，沙雀队长布朗宁决定带领队员，探索更多关于黄金之涡的情报……	5
4	1	折返跑	在黄金之涡建筑内部的里，决定原路返回，为了搜寻暂时失联的丽芙……	13
5	2	未被遗忘	渡边带领遗忘者抵达黄金之涡，他此次行动的目的是为了营救受困的同伴……（本章共需求6人）	0
6	2	孤箭	比安卡潜入黄金之涡，茫茫多的守卫阻挡着她的去路，她身边没有任何支援……	54
7	2	持久战	神威一直追着升格者罗兰，进入黄金之涡。在此之前，他们的战斗持续了数百小时……	66
8	2	狂躁之人	渡边和比安卡的争斗终告一段落，可是被营救的遗忘者的精神状况突发异常……	65
9	3	强援	通讯受阻将近四个小时，总部派卡列尼娜扫清黄金之涡的重重迷雾……（本章共需求7人）	0
10	3	尊严	罗兰亲身体会过黄金抗体的威力，他只有两个选择：要么毁掉它，要么逃跑……	116
11	3	未知数	七实的行事风格十分独特，她在黄金之涡周密的防御网中，自在遨游……	119
12	3	神游	感染体占据数量优势，本想用车轮战消耗神威，却演变成感染体单方面的受苦……	114
13	4	真相	结合各方情报，黄金女王和黄金抗体的秘密，遭到无情揭露。（本章共需求9人）	0
14	4	双面难题	无论何时，升格者和帕弥什都是神威必须肩负的使命。	167
15	4	整体	通讯恢复后，空中花园的士兵终于有机会向总部求援……	157
16	4	黄金陷落	在黄金之涡的顶点，空中花园的士兵和黄金女王展开决战……	165
