Id	Cvs[1]	Cvs[2]	Cvs[3]	CvContent[1]	CvContent[2]	CvContent[3]
102001	102001	202001	302001	灰鸦小队队长，个体名是露西亚。请多指教，指挥官。	灰鸦小队队长，个体名是露西亚。请多指教，指挥官。	灰鸦小队队长，个体名是露西亚。请多指教，指挥官。
102002	102002	202002	302002	明白。	明白。	明白。
102003	102003	202003	302003	嗯	嗯	嗯
102004	102004	202004	302004	呵呵	呵呵	呵呵
102005	102005	202005	302005	什么？	什么？	什么？
102006	102006	202006	302006	已确认，战斗力提升。	已确认，战斗力提升。	已确认，战斗力提升。
102007	102007	202007	302007	这样，就能更好的执行任务了……	这样，就能更好的执行任务了……	这样，就能更好的执行任务了……
102008	102008	202008	302008	获得了这份力量，遇见任何敌人都能打倒吧。	获得了这份力量，遇见任何敌人都能打倒吧。	获得了这份力量，遇见任何敌人都能打倒吧。
102009	102009	202009	302009	一定会在战场上发挥作用的，谢谢你，指挥官。	一定会在战场上发挥作用的，谢谢你，指挥官。	一定会在战场上发挥作用的，谢谢你，指挥官。
102010	102010	202010	302010	我会好好活用这个装备的。	我会好好活用这个装备的。	我会好好活用这个装备的。
102011	102011	202011	302011	指挥官，总部发来新的邮件，请查收。	指挥官，总部发来新的邮件，请查收。	指挥官，总部发来新的邮件，请查收。
102012	102012	202012	302012	请期待我的表现。	请期待我的表现。	请期待我的表现。
102013	102013	202013	302013	我会好好完成队长的职务。	我会好好完成队长的职务。	我会好好完成队长的职务。
102014	102014	202014	302014	有新的任务完成了，回基地领取奖励吧。	有新的任务完成了，回基地领取奖励吧。	有新的任务完成了，回基地领取奖励吧。
102015	102015	202015	302015	任务已经完成，请记得领取奖励	任务已经完成，请记得领取奖励	任务已经完成，请记得领取奖励
102016	102016	202016	302016	任务已经完成，请记得领取奖励	任务已经完成，请记得领取奖励	任务已经完成，请记得领取奖励
102017	102017	202017	302017	每个任务都会有对应的奖励可以领取。	每个任务都会有对应的奖励可以领取。	每个任务都会有对应的奖励可以领取。
102018	102018	202018	302018	做完任务去记得去基地看看，可以领取到奖励。	做完任务去记得去基地看看，可以领取到奖励。	做完任务去记得去基地看看，可以领取到奖励。
102019	102019	202019	302019	做完任务去记得去基地看看，可以领取到奖励。	做完任务去记得去基地看看，可以领取到奖励。	做完任务去记得去基地看看，可以领取到奖励。
102020	102020	202020	302020	指挥官，任务完成后的奖励，你有去确认吗？	指挥官，任务完成后的奖励，你有去确认吗？	指挥官，任务完成后的奖励，你有去确认吗？
102021	102021	202021	302021	指挥官，完成任务的奖励貌似发放下来了。	指挥官，完成任务的奖励貌似发放下来了。	指挥官，完成任务的奖励貌似发放下来了。
102022	102022	202022	302022	任务完成的奖励到了，指挥官，要一起去看看吗？	任务完成的奖励到了，指挥官，要一起去看看吗？	任务完成的奖励到了，指挥官，要一起去看看吗？
102023	102023	202023	302023	这是伊甸对指挥官努力的肯定，去领取任务奖励吧。	这是伊甸对指挥官努力的肯定，去领取任务奖励吧。	这是伊甸对指挥官努力的肯定，去领取任务奖励吧。
102024	102024	202024	302024	每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？	每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？	每次都要我提醒，你什么时候才能记得去领取完成任务的奖励呀？
102025	102025	202025	302025	又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。	又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。	又忘记去领取任务奖励了？果然我还是一直待在你身边比较好呢。
102026	102026	202026	302026	早上好指挥官，请继续为了收复地球而努力。	早上好指挥官，请继续为了收复地球而努力。	早上好指挥官，请继续为了收复地球而努力。
102027	102027	202027	302027	人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。	人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。	人类如果不按时进食，是会变得虚弱的，请指挥官规律饮食。
102028	102028	202028	302028	在您没有下令的时候，灰鸦小队会在基地维持待机状态。	在您没有下令的时候，灰鸦小队会在基地维持待机状态。	在您没有下令的时候，灰鸦小队会在基地维持待机状态。
102029	102029	202029	302029	晚上好，我认为，现在并不是执行任务的好时间。	晚上好，我认为，现在并不是执行任务的好时间。	晚上好，我认为，现在并不是执行任务的好时间。
102030	102030	202030	302030	指挥官如果有什么不适应，请尽管找我	指挥官如果有什么不适应，请尽管找我	指挥官如果有什么不适应，请尽管找我
102031	102031	202031	302031	希望您已经适应了指挥官的职务	希望您已经适应了指挥官的职务	希望您已经适应了指挥官的职务
102032	102032	202032	302032	人类不像构造体不会累计疲劳，所以希望您也能好好休息	人类不像构造体不会累计疲劳，所以希望您也能好好休息	人类不像构造体不会累计疲劳，所以希望您也能好好休息
